City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Matagami,CA,49.7502,-77.6328,60.8,51,20,12.66,few clouds
302,Nemuro,JP,43.3236,145.575,41.43,88,100,27.42,overcast clouds
303,Gobabis,NA,-22.45,18.9667,66.65,33,0,10.16,clear sky
304,Zvishavane,ZW,-20.3267,30.0665,62.44,64,0,4.81,clear sky
305,Kjollefjord,NO,70.9457,27.3465,30.2,86,40,19.57,scattered clouds
306,Vostok,RU,46.4856,135.8833,41.07,60,100,5.5,overcast clouds
307,Obo,CF,5.3998,26.4869,72.03,85,100,5.32,light rain
308,Giyani,ZA,-23.3025,30.7187,70.16,59,0,4.45,clear sky
309,Morondava,MG,-20.2833,44.2833,80.22,73,98,10.47,overcast clouds
310,Saint-Augustin,CA,51.226,-58.6502,46.26,69,11,21.0,few clouds
311,Irondequoit,US,43.2134,-77.5797,50.0,93,100,4.0,light rain
312,Takaka,NZ,-40.85,172.8,61.0,97,2,4.0,clear sky
313,Hofn,IS,64.2539,-15.2082,41.0,65,20,4.61,few clouds
314,Egvekinot,RU,66.3167,-179.1667,4.3,71,100,18.3,overcast clouds
315,Sisimiut,GL,66.9395,-53.6735,35.29,81,100,9.4,overcast clouds
316,Omboue,GA,-1.5746,9.2618,79.59,87,100,4.92,overcast clouds
317,Santa Maria,BR,-29.6842,-53.8069,71.6,60,75,5.75,broken clouds
318,Lexington,US,37.9887,-84.4777,66.99,48,20,14.97,few clouds
319,Roma,US,43.2128,-75.4557,48.99,81,90,6.91,overcast clouds
320,Garbolovo,RU,60.3413,30.4955,52.0,54,64,8.14,broken clouds
321,Olafsvik,IS,64.8945,-23.7142,40.8,83,74,6.06,broken clouds
322,Bambous Virieux,MU,-20.3428,57.7575,75.2,100,75,8.05,light rain
323,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.73,65,75,3.6,broken clouds
324,Tautira,PF,-17.7333,-149.15,86.0,66,75,14.97,broken clouds
325,Arman,RU,59.7,150.1667,1.0,76,75,9.4,broken clouds
326,Moroni,KM,-11.7022,43.2551,80.28,82,100,9.93,light rain
