City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Chongqing,CN,60.8,light rain,29.5628,106.5528,Hilton Chongqing
454,Biak,ID,75.69,overcast clouds,-0.9131,122.8766,Penginapan Kim
455,Havre-Saint-Pierre,CA,57.2,clear sky,50.2334,-63.5986,Auberge Niapiskau
456,Weiser,US,55.0,clear sky,44.251000000000005,-116.9693,The Colonial Motel
457,Sao Filipe,CV,76.41,scattered clouds,14.8961,-24.4956,Tortuga B&B
459,Awbari,LY,79.2,clear sky,26.5921,12.7805,فندق أوباري
461,Sarankhola,BD,76.35,few clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
462,Sinisian,PH,79.0,broken clouds,13.9156,120.844,Casa Corazon
464,Maraa,BR,82.22,moderate rain,-1.8333,-65.3667,
465,Konibodom,TJ,50.0,overcast clouds,40.2843,70.4426,"Hotel ""Orom"""
467,Taltal,CL,68.85,overcast clouds,-25.4,-70.4833,Residencial Karime
469,Kikwit,CD,71.4,broken clouds,-5.041,18.8162,Guest L'Amour
470,Birao,CF,81.55,overcast clouds,10.2849,22.7882,
474,Florence,IT,52.0,broken clouds,43.7667,11.25,Italiana Hotels Florence
475,Envira,BR,87.01,scattered clouds,-7.3,-70.2167,
476,Lucapa,AO,62.31,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
477,Kailua,US,75.2,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
478,Sao Jose Da Coroa Grande,BR,79.39,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
479,Kirakira,SB,79.72,broken clouds,-10.4544,161.9205,SanBiz Lodge
480,Mungwi,ZM,61.14,light rain,-10.1732,31.3694,
481,Muisne,EC,86.0,broken clouds,0.6,-80.0333,Quinta Samay
482,Marang,MY,77.0,few clouds,5.2056,103.2059,DBarakah Homestay
484,Samarai,PG,79.36,broken clouds,-10.6167,150.6667,Nuli Sapi
486,Frontera,MX,89.6,haze,26.9333,-101.45,Casagrande Hotel
487,Hervey Bay,AU,63.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
488,Baihar,IN,76.71,clear sky,22.1,80.55,T3 RESORT & RESEARCH CENTRE
